datetime,open,high,low,close,volume
2026-01-01 00:00:00,4361.000,4361.306,4358.106,4360.364,1148
2026-01-01 00:15:00,4360.364,4362.007,4355.526,4359.434,1382
2026-01-01 00:30:00,4359.434,4360.326,4356.615,4357.368,1333
2026-01-01 00:45:00,4357.368,4362.423,4356.832,4359.474,1170
2026-01-01 01:00:00,4359.474,4362.850,4355.765,4356.931,1512
2026-01-01 01:15:00,4356.931,4362.944,4355.700,4362.112,1299
2026-01-01 01:30:00,4362.112,4362.485,4357.056,4357.211,1565
2026-01-01 01:45:00,4357.211,4364.721,4356.075,4358.008,803
2026-01-01 02:00:00,4358.008,4361.676,4357.193,4360.918,1229
2026-01-01 02:15:00,4360.918,4368.685,4360.572,4367.931,1615
2026-01-01 02:30:00,4367.931,4368.431,4355.712,4356.374,1339
2026-01-01 02:45:00,4356.374,4365.556,4356.223,4359.241,1342
2026-01-01 03:00:00,4359.241,4360.247,4348.000,4348.000,1621
2026-01-01 03:15:00,4348.000,4364.022,4348.000,4356.838,1583
2026-01-01 03:30:00,4356.838,4361.541,4356.556,4360.884,1235
2026-01-01 03:45:00,4360.884,4364.728,4360.487,4363.142,1548
2026-01-01 04:00:00,4363.142,4364.507,4359.394,4363.041,2036
2026-01-01 04:15:00,4363.041,4363.236,4351.328,4357.697,1500
2026-01-01 04:30:00,4357.697,4368.030,4355.616,4367.651,1338
2026-01-01 04:45:00,4367.651,4368.030,4350.735,4351.447,1671
2026-01-01 05:00:00,4351.447,4363.630,4351.077,4363.265,1501
2026-01-01 05:15:00,4363.265,4365.118,4358.264,4358.374,1578
2026-01-01 05:30:00,4358.374,4365.455,4357.555,4359.251,1967
2026-01-01 05:45:00,4359.251,4359.345,4352.244,4355.280,1401
2026-01-01 06:00:00,4355.280,4364.323,4354.098,4364.243,1801
2026-01-01 06:15:00,4364.243,4365.191,4357.309,4363.977,1885
2026-01-01 06:30:00,4363.977,4364.106,4355.937,4356.713,1539
2026-01-01 06:45:00,4356.713,4359.281,4353.628,4353.639,664
2026-01-01 07:00:00,4353.639,4364.877,4353.062,4360.672,1379
2026-01-01 07:15:00,4360.672,4364.863,4359.580,4364.570,1423
